date,open,high,low,close,volume
2024-01-02,13000,13100,12900,13050,4000000
2024-01-03,13050,13150,13000,13100,4100000
2024-01-04,13100,13200,13050,13150,4200000
2024-01-05,13150,13250,13100,13200,4300000
2024-01-08,13200,13300,13150,13250,4400000
2024-01-09,13250,13350,13200,13300,4500000
2024-01-10,13300,13400,13250,13350,4600000
2024-01-11,13350,13450,13300,13400,4700000
2024-01-12,13400,13500,13350,13450,4800000
2024-01-15,13450,13550,13400,13500,4900000
2024-01-16,13500,13600,13450,13550,5000000
2024-01-17,13550,13650,13500,13600,5100000
2024-01-18,13600,13700,13550,13650,5200000
2024-01-19,13650,13750,13600,13700,5300000
2024-01-22,13700,13800,13650,13750,5400000
2024-01-23,13750,13850,13700,13800,5500000
2024-01-24,13800,13900,13750,13850,5600000
2024-01-25,13850,13950,13800,13900,5700000
2024-01-26,13900,14000,13850,13950,5800000
2024-01-29,13950,14050,13900,14000,5900000
2024-01-30,14000,14100,13950,14050,6000000
2024-01-31,14050,14150,14000,14100,6100000
2024-02-01,14100,14200,14050,14150,6200000
2024-02-02,14150,14250,14100,14200,6300000
2024-02-05,14200,14300,14150,14250,6400000
2024-02-06,14250,14350,14200,14300,6500000
2024-02-07,14300,14400,14250,14350,6600000
2024-02-08,14350,14450,14300,14400,6700000
2024-02-09,14400,14500,14350,14450,6800000
2024-02-13,14450,14550,14400,14500,6900000
2024-02-14,14500,14600,14450,14550,7000000
2024-02-15,14550,14650,14500,14600,7100000
2024-02-16,14600,14700,14550,14650,7200000
2024-02-19,14650,14750,14600,14700,7300000
2024-02-20,14700,14800,14650,14750,7400000
2024-02-21,14750,14850,14700,14800,7500000
2024-02-22,14800,14900,14750,14850,7600000
2024-02-26,14850,14950,14800,14900,7700000
2024-02-27,14900,15000,14850,14950,7800000
2024-02-28,14950,15050,14900,15000,7900000
2024-02-29,15000,15100,14950,15050,8000000
2024-03-01,15050,15150,15000,15100,8100000
2024-03-04,15100,15200,15050,15150,8200000
2024-03-05,15150,15250,15100,15200,8300000
2024-03-06,15200,15300,15150,15250,8400000
2024-03-07,15250,15350,15200,15300,8500000
2024-03-08,15300,15400,15250,15350,8600000
2024-03-11,15350,15450,15300,15400,8700000
2024-03-12,15400,15500,15350,15450,8800000
2024-03-13,15450,15550,15400,15500,8900000
2024-03-14,15500,15600,15450,15550,9000000
2024-03-15,15550,15650,15500,15600,9100000
2024-03-18,15600,15700,15550,15650,9200000
2024-03-19,15650,15750,15600,15700,9300000
2024-03-21,15700,15800,15650,15750,9400000
2024-03-22,15750,15850,15700,15800,9500000
2024-03-25,15800,15900,15750,15850,9600000
2024-03-26,15850,15950,15800,15900,9700000
2024-03-27,15900,16000,15850,15950,9800000
2024-03-28,15950,16050,15900,16000,9900000
2024-03-29,16000,16100,15950,16050,10000000
